Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Protein existence
B5X8M4	reviewed	BRCC3_SALSA	Lys-63-specific deubiquitinase BRCC36 (EC 3.4.19.-) (BRCA1-A complex subunit BRCC36) (BRCA1/BRCA2-containing complex subunit 3) (BRCA1/BRCA2-containing complex subunit 36) (BRISC complex subunit BRCC36)	brcc3 brcc36	Salmo salar (Atlantic salmon)	260	Evidence at transcript level
B6ZK77	reviewed	IRL1B_DANRE	Interleukin-1 receptor accessory protein-like 1-B (EC 3.2.2.6)	il1rapl1b	Danio rerio (Zebrafish) (Brachydanio rerio)	700	Evidence at protein level
B7SXM5	reviewed	IER2_DANRE	Immediate early response gene 2 protein	ier2	Danio rerio (Zebrafish) (Brachydanio rerio)	180	Evidence at protein level
B7ZC96	reviewed	KCMA1_DANRE	Calcium-activated potassium channel subunit alpha-1a (BK channel) (Potassium large conductance calcium-activated channel, subfamily M, alpha member 1a) (Slo1a) (Slowpoke homolog)	kcnma1a	Danio rerio (Zebrafish) (Brachydanio rerio)	1184	Evidence at protein level
B8A4F0	reviewed	ZD16A_DANRE	Palmitoyltransferase ZDHHC16A (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 16A) (DHHC-16A)	zdhhc16a zdhhc16	Danio rerio (Zebrafish) (Brachydanio rerio)	387	Evidence at transcript level
B8A4W9	reviewed	LOX3B_DANRE	Lysyl oxidase homolog 3B (EC 1.4.3.-) (EC 1.4.3.13) (Lysyl oxidase-like protein 3B)	loxl3b	Danio rerio (Zebrafish) (Brachydanio rerio)	807	Evidence at transcript level
B8A5S6	reviewed	AML2B_DANRE	Angiomotin-like 2b	amotl2b	Danio rerio (Zebrafish) (Brachydanio rerio)	681	Evidence at transcript level
B8JLQ9	reviewed	CBPO_DANRE	Carboxypeptidase O (EC 3.4.17.-)	cpo	Danio rerio (Zebrafish) (Brachydanio rerio)	363	Evidence at protein level
B8PYG1	reviewed	NSMF_DANRE	NMDA receptor synaptonuclear signaling and neuronal migration factor (Nasal embryonic luteinizing hormone-releasing hormone factor) (Nasal embryonic LHRH factor)	nsmf nelf nelfb	Danio rerio (Zebrafish) (Brachydanio rerio)	570	Evidence at transcript level
B8XY56	reviewed	RNT2_DANRE	Ribonuclease T2 (EC 4.6.1.19) (RNase Dre2)	rnaset2 dre2 zgc:113369	Danio rerio (Zebrafish) (Brachydanio rerio)	240	Evidence at transcript level
C0H9B6	reviewed	ZPLD1_SALSA	Zona pellucida-like domain-containing protein 1 (ZP domain-containing protein 1) (Cupulin) [Cleaved into: Zona pellucida-like domain-containing protein 1, secreted form]	zpld1	Salmo salar (Atlantic salmon)	413	Evidence at protein level
C0HJQ3	reviewed	H2A_ACIGU	Histone H2A [Cleaved into: Acipensin 1 (Ac1); Acipensin 2 (Ac2); Acipensin 3 (Ac3); Acipensin 4 (Ac4); Acipensin 5 (Ac5); Acipensin 6 (Ac6)]		Acipenser gueldenstaedtii (Russian sturgeon) (Danube sturgeon)	76	Evidence at protein level
C6KFA3	reviewed	AGRG6_DANRE	Adhesion G-protein coupled receptor G6 (G-protein coupled receptor 126) [Cleaved into: Adhesion G-protein coupled receptor G6, N-terminal fragment (ADGRG6 N-terminal fragment) (ADGRG6-NTF); Adhesion G-protein coupled receptor G6, C-terminal fragment (ADGRG6 C-terminal fragment) (ADGRG6-CTF)]	adgrg6 gpr126	Danio rerio (Zebrafish) (Brachydanio rerio)	1185	Evidence at protein level
D2CLZ9	reviewed	ATOH8_DANRE	Transcription factor atoh8 (Atonal bHLH transcription factor 8) (Protein atonal homolog 8)	atoh8 zgc:158314	Danio rerio (Zebrafish) (Brachydanio rerio)	266	Evidence at transcript level
E7EZ53	reviewed	GALA_DANRE	Galanin peptides [Cleaved into: Galanin; Galanin message-associated peptide]	gal galn ppg	Danio rerio (Zebrafish) (Brachydanio rerio)	118	Evidence at protein level
E7EZF3	reviewed	UHRF1_DANRE	E3 ubiquitin-protein ligase UHRF1 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase UHRF1) (Ubiquitin-like PHD and RING finger domain-containing protein 1) (Ubiquitin-like-containing PHD and RING finger domains protein 1)	uhrf1	Danio rerio (Zebrafish) (Brachydanio rerio)	776	Evidence at protein level
E7EZG2	reviewed	MY9AA_DANRE	Unconventional myosin-IXAa (Myosin IXAa)	myo9aa myo9al1	Danio rerio (Zebrafish) (Brachydanio rerio)	2522	Inferred from homology
E7F1H9	reviewed	YTHD2_DANRE	YTH domain-containing family protein 2	ythdf2	Danio rerio (Zebrafish) (Brachydanio rerio)	613	Evidence at protein level
E7F3F0	reviewed	MY9AB_DANRE	Unconventional myosin-IXAb (Myosin IXAb)	myo9ab	Danio rerio (Zebrafish) (Brachydanio rerio)	2286	Inferred from homology
E7F3I6	reviewed	CLP1_DANRE	Polyribonucleotide 5'-hydroxyl-kinase Clp1 (EC 2.7.1.78) (Polyadenylation factor Clp1) (Polynucleotide kinase Clp1) (Pre-mRNA cleavage complex II protein Clp1)	clp1	Danio rerio (Zebrafish) (Brachydanio rerio)	443	Evidence at protein level
E7F4N7	reviewed	STING_DANRE	Stimulator of interferon genes protein (STING) (Transmembrane protein 173)	sting1 sting tmem173	Danio rerio (Zebrafish) (Brachydanio rerio)	398	Evidence at protein level
E7F568	reviewed	COBL_DANRE	Protein cordon-bleu	cobl	Danio rerio (Zebrafish) (Brachydanio rerio)	1343	Evidence at protein level
E7F590	reviewed	VPS41_DANRE	Vacuolar protein sorting-associated protein 41 homolog	vps41	Danio rerio (Zebrafish) (Brachydanio rerio)	854	Evidence at protein level
E7F594	reviewed	G137B_DANRE	G protein-coupled receptor 137Ba	gpr137ba	Danio rerio (Zebrafish) (Brachydanio rerio)	373	Inferred from homology
E7F654	reviewed	NOL9_DANRE	Polynucleotide 5'-hydroxyl-kinase NOL9 (EC 2.7.1.78) (Nucleolar protein 9)	nol9	Danio rerio (Zebrafish) (Brachydanio rerio)	713	Inferred from homology
E7F6F7	reviewed	ABCB7_DANRE	Iron-sulfur clusters transporter ABCB7, mitochondrial (ATP-binding cassette sub-family B member 7, mitochondrial)	abcb7	Danio rerio (Zebrafish) (Brachydanio rerio)	743	Inferred from homology
E7F7X0	reviewed	LMOD3_DANRE	Leiomodin-3	lmod3 si:dkey-90a13.7	Danio rerio (Zebrafish) (Brachydanio rerio)	670	Evidence at protein level
E7F9L8	reviewed	MYO1D_DANRE	Unconventional myosin-Id (Myosin 1d) (Myosin1D)	myo1d si:ch211-94l19.4	Danio rerio (Zebrafish) (Brachydanio rerio)	1004	Evidence at transcript level
E7FAG6	reviewed	AMR1A_DANRE	Activating molecule in BECN1-regulated autophagy protein 1A	ambra1a	Danio rerio (Zebrafish) (Brachydanio rerio)	1315	Evidence at transcript level
E7FAM5	reviewed	LIN41_DANRE	E3 ubiquitin-protein ligase TRIM71 (EC 2.3.2.27) (Protein lin-41 homolog) (RING-type E3 ubiquitin transferase TRIM71) (Tripartite motif-containing protein 71)	trim71 lin41	Danio rerio (Zebrafish) (Brachydanio rerio)	824	Evidence at protein level
E7FB98	reviewed	UBIA1_DANRE	UbiA prenyltransferase domain-containing protein 1 (EC 2.5.1.-) (EC 2.5.1.39) (Protein barolo) (Protein reddish)	ubiad1 bar reh	Danio rerio (Zebrafish) (Brachydanio rerio)	336	Evidence at protein level
E7FBF7	reviewed	FCHO1_DANRE	F-BAR domain only protein 1	fcho1	Danio rerio (Zebrafish) (Brachydanio rerio)	897	Evidence at protein level
E7FBY6	reviewed	AGRA2_DANRE	Adhesion G protein-coupled receptor A2 (G-protein coupled receptor 124)	adgra2 gpr124	Danio rerio (Zebrafish) (Brachydanio rerio)	1367	Evidence at protein level
E7FCP8	reviewed	NAGS_DANRE	N-acetylglutamate synthase, mitochondrial (EC 2.3.1.1) [Cleaved into: N-acetylglutamate synthase, mature form (NAGS-M); N-acetylglutamate synthase, conserved domain form (NAGS-C)]	nags	Danio rerio (Zebrafish) (Brachydanio rerio)	527	Evidence at protein level
E7FE13	reviewed	LGR4_DANRE	Leucine-rich repeat-containing G-protein coupled receptor 4	lgr4	Danio rerio (Zebrafish) (Brachydanio rerio)	971	Evidence at transcript level
E7FEL0	reviewed	GPR4_DANRE	G-protein coupled receptor 4 (zGPR4)	gpr4	Danio rerio (Zebrafish) (Brachydanio rerio)	373	Evidence at protein level
E7FFT2	reviewed	TMC2A_DANRE	Transmembrane channel-like protein 2-A	tmc2a	Danio rerio (Zebrafish) (Brachydanio rerio)	916	Evidence at protein level
E7FKV8	reviewed	PK1L1_ORYLA	Polycystin-1-like protein 1 (Polycystin-1L1) (Polycystic kidney disease 1-like 1) (Protein abecobe)	pkd1l1 abc	Oryzias latipes (Japanese rice fish) (Japanese killifish)	2742	Evidence at protein level
E9QBI7	reviewed	OMA1_DANRE	Metalloendopeptidase OMA1, mitochondrial (zfoma1) (EC 3.4.24.-) (Overlapping with the m-AAA protease 1 homolog)	oma1 si:ch73-215a11.1	Danio rerio (Zebrafish) (Brachydanio rerio)	478	Inferred from homology
E9QDC5	reviewed	HWA_DANRE	Protein huluwa	hwa si:dkey-121h17.7	Danio rerio (Zebrafish) (Brachydanio rerio)	294	Evidence at protein level
E9QG68	reviewed	UBP45_DANRE	Ubiquitin carboxyl-terminal hydrolase 45 (EC 3.4.19.12) (Ubiquitin specific peptidase 45)	usp45	Danio rerio (Zebrafish) (Brachydanio rerio)	803	Evidence at transcript level
E9QI36	reviewed	HARS1_DANRE	Histidine--tRNA ligase (EC 6.1.1.21)	hars	Danio rerio (Zebrafish) (Brachydanio rerio)	513	Inferred from homology
E9QIN8	reviewed	KL41A_DANRE	Kelch-like protein 41a (Kelch repeat and BTB domain-containing protein 10b)	klhl41a kbtbd10a	Danio rerio (Zebrafish) (Brachydanio rerio)	599	Evidence at transcript level
E9QJ30	reviewed	KL40B_DANRE	Kelch-like protein 40b (Kelch repeat and BTB domain-containing protein 5b)	klhl40b kbtbd5b	Danio rerio (Zebrafish) (Brachydanio rerio)	618	Evidence at transcript level
E9QJ73	reviewed	CXR32_DANRE	C-X-C chemokine receptor type 3-2	cxcr3.2	Danio rerio (Zebrafish) (Brachydanio rerio)	378	Evidence at transcript level
F1Q4R9	reviewed	MEOX1_DANRE	Homeobox protein MOX-1 (Mesenchyme homeobox 1) (Protein choker)	meox1 cho	Danio rerio (Zebrafish) (Brachydanio rerio)	253	Evidence at transcript level
F1Q506	reviewed	SNXAA_DANRE	Sorting nexin-10A	snx10a im:7153949	Danio rerio (Zebrafish) (Brachydanio rerio)	229	Evidence at protein level
F1Q749	reviewed	DKC1_DANRE	H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (Dyskerin)	dkc1 zgc:110395	Danio rerio (Zebrafish) (Brachydanio rerio)	506	Evidence at transcript level
F1Q7H8	reviewed	ZD20A_DANRE	Palmitoyltransferase ZDHHC20-A (EC 2.3.1.225) (Acyltransferase ZDHHC20-A) (EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 20-A)	zdhhc20a	Danio rerio (Zebrafish) (Brachydanio rerio)	357	Evidence at transcript level
F1Q8K0	reviewed	RAD54_DANRE	DNA repair and recombination protein RAD54-like (EC 3.6.4.12)	rad54l	Danio rerio (Zebrafish) (Brachydanio rerio)	738	Evidence at protein level
F1Q8R9	reviewed	POMT2_DANRE	Protein O-mannosyl-transferase 2 (EC 2.4.1.109)	pomt2	Danio rerio (Zebrafish) (Brachydanio rerio)	756	Evidence at protein level
F1Q8X5	reviewed	FERM2_DANRE	Fermitin family homolog 2 (Kindlin-2)	fermt2	Danio rerio (Zebrafish) (Brachydanio rerio)	684	Evidence at transcript level
F1QB30	reviewed	AMFR_DANRE	E3 ubiquitin-protein ligase AMFR (EC 2.3.2.36) (Autocrine motility factor receptor) (AMF receptor)	amfra wu:fi06e06 wu:fi37e05 zgc:63893	Danio rerio (Zebrafish) (Brachydanio rerio)	620	Evidence at protein level
F1QBY1	reviewed	NIPLB_DANRE	Nipped-B-like protein B	nipblb	Danio rerio (Zebrafish) (Brachydanio rerio)	2876	Evidence at transcript level
F1QC45	reviewed	XRP2_DANRE	Protein XRP2	rp2	Danio rerio (Zebrafish) (Brachydanio rerio)	376	Evidence at protein level
F1QCP6	reviewed	TAZ_DANRE	Tafazzin (Taz) (EC 2.3.1.-)	tafazzin taz	Danio rerio (Zebrafish) (Brachydanio rerio)	262	Evidence at transcript level
F1QCV2	reviewed	HDA10_DANRE	Polyamine deacetylase HDAC10 (EC 3.5.1.48) (EC 3.5.1.62) (Histone deacetylase 10)	hdac10	Danio rerio (Zebrafish) (Brachydanio rerio)	675	Evidence at protein level
F1QDF8	reviewed	FXJ1A_DANRE	Forkhead box protein J1-A	foxj1a foxj1	Danio rerio (Zebrafish) (Brachydanio rerio)	458	Evidence at transcript level
F1QEB7	reviewed	WDR11_DANRE	WD repeat-containing protein 11	wdr11	Danio rerio (Zebrafish) (Brachydanio rerio)	1239	Evidence at transcript level
F1QEG2	reviewed	KL41B_DANRE	Kelch-like protein 41b (Kelch repeat and BTB domain-containing protein 10b)	klhl41b kbtbd10b	Danio rerio (Zebrafish) (Brachydanio rerio)	605	Evidence at transcript level
F1QF89	reviewed	POMT1_DANRE	Protein O-mannosyl-transferase 1 (EC 2.4.1.109)	pomt1	Danio rerio (Zebrafish) (Brachydanio rerio)	720	Evidence at protein level
F1QFS9	reviewed	UBP13_DANRE	Ubiquitin carboxyl-terminal hydrolase 13 (EC 3.4.19.12) (Deubiquitinating enzyme 13) (Ubiquitin thioesterase 13) (Ubiquitin-specific-processing protease 13)	usp13 wu:fc61g08	Danio rerio (Zebrafish) (Brachydanio rerio)	860	Evidence at transcript level
F1QG30	reviewed	NSMA5_DANRE	Sphingomyelin phosphodiesterase 5 (EC 3.1.4.12) (Mitochondrial neutral sphingomyelinase) (mtnSMase)	smpd5 smpdm zgc:153995	Danio rerio (Zebrafish) (Brachydanio rerio)	545	Evidence at protein level
F1QGH7	reviewed	CTNB1_DANRE	Catenin beta-1 (Beta-catenin)	ctnnb1	Danio rerio (Zebrafish) (Brachydanio rerio)	780	Evidence at protein level
F1QGZ6	reviewed	MELK_DANRE	Maternal embryonic leucine zipper kinase (zMelk) (EC 2.7.11.1) (Protein kinase PK38)	melk	Danio rerio (Zebrafish) (Brachydanio rerio)	676	Evidence at transcript level
F1QLG5	reviewed	ADN1A_DANRE	Activity-dependent neuroprotective protein a (ADNP homeobox protein a)	adnpa adnp1a	Danio rerio (Zebrafish) (Brachydanio rerio)	969	Evidence at protein level
F1QLP1	reviewed	DHI2_DANRE	11-beta-hydroxysteroid dehydrogenase type 2 (11-DH2) (11-beta-HSD2) (11-beta-hydroxysteroid dehydrogenase type II) (11-HSD type II) (11-beta-HSD type II) (Corticosteroid 11-beta-dehydrogenase isozyme 2) (NAD-dependent 11-beta-hydroxysteroid dehydrogenase)	hsd11b2	Danio rerio (Zebrafish) (Brachydanio rerio)	414	Evidence at protein level
F1QLR3	reviewed	FXR1_DANRE	RNA-binding protein FXR1 (FMR1 autosomal homolog 1)	fxr1	Danio rerio (Zebrafish) (Brachydanio rerio)	622	Evidence at protein level
F1QN48	reviewed	FA53B_DANRE	Protein FAM53B (Protein simplet)	fam53b smp	Danio rerio (Zebrafish) (Brachydanio rerio)	379	Evidence at protein level
F1QN54	reviewed	KIF3B_DANRE	Kinesin-like protein KIF3B	kif3b	Danio rerio (Zebrafish) (Brachydanio rerio)	775	Evidence at transcript level
F1QNW4	reviewed	DRC4_DANRE	Dynein regulatory complex subunit 4 (Growth arrest-specific protein 8) (GAS-8)	gas8 drc4	Danio rerio (Zebrafish) (Brachydanio rerio)	475	Evidence at transcript level
F1QQA8	reviewed	ZN219_DANRE	Zinc finger protein 219 (Zinc finger protein 219-like)	znf219 znf219l	Danio rerio (Zebrafish) (Brachydanio rerio)	1095	Evidence at protein level
F1QQC3	reviewed	LOL2A_DANRE	Lysyl oxidase homolog 2A (EC 1.4.3.13) (Lysyl oxidase-like protein 2A)	loxl2a	Danio rerio (Zebrafish) (Brachydanio rerio)	737	Evidence at transcript level
F1QQI2	reviewed	SPXN1_DANRE	Spexin prohormone 1 (Neuropeptide Q) (Spexin hormone) [Cleaved into: Spexin-1 (Spexin-14)]	spx si:dkey-13i19.7	Danio rerio (Zebrafish) (Brachydanio rerio)	102	Evidence at protein level
F1QR43	reviewed	GLCEB_DANRE	D-glucuronyl C5-epimerase B (EC 5.1.3.17)	glceb	Danio rerio (Zebrafish) (Brachydanio rerio)	586	Evidence at protein level
F1QSQ0	reviewed	DSC2L_DANRE	Desmocollin 2-like protein	dsc2l dsc dsc2	Danio rerio (Zebrafish) (Brachydanio rerio)	934	Evidence at transcript level
F1QU13	reviewed	ALPK2_DANRE	Alpha-protein kinase 2 (EC 2.7.11.1) (Heart alpha-protein kinase)	alpk2	Danio rerio (Zebrafish) (Brachydanio rerio)	1966	Evidence at transcript level
F1QVU0	reviewed	LTK_DANRE	Tyrosine-protein kinase receptor (EC 2.7.10.1) (Anaplastic lymphoma kinase 1) (alk-1) (Protein moonstone) (mne) (Protein shady) (shd)	ltk	Danio rerio (Zebrafish) (Brachydanio rerio)	1530	Evidence at protein level
F1QWA8	reviewed	SARM1_DANRE	NAD(+) hydrolase SARM1 (NADase SARM1) (EC 3.2.2.6) (NADP(+) hydrolase SARM1) (EC 3.2.2.-) (Sterile alpha and TIR motif-containing protein 1)	sarm1	Danio rerio (Zebrafish) (Brachydanio rerio)	713	Evidence at protein level
F1QWW8	reviewed	KDSR_DANRE	3-dehydrosphinganine reductase (EC 1.1.1.102)	kdsr fvt1 zgc:55947	Danio rerio (Zebrafish) (Brachydanio rerio)	332	Evidence at protein level
F1QXD3	reviewed	ZH15B_DANRE	Palmitoyltransferase ZDHHC15B (EC 2.3.1.225) (Acyltransferase ZDHHC15B) (EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 15B)	zdhhc15b	Danio rerio (Zebrafish) (Brachydanio rerio)	332	Evidence at protein level
F1QZ88	reviewed	E2F8_DANRE	Transcription factor E2F8 (E2F-8)	e2f8 si:ch211-215h6.2	Danio rerio (Zebrafish) (Brachydanio rerio)	917	Inferred from homology
F1R237	reviewed	TDRD6_DANRE	Tudor domain-containing 6	tdrd6 tdrd6a	Danio rerio (Zebrafish) (Brachydanio rerio)	2117	Evidence at protein level
F1R2J1	reviewed	PNX_DANRE	Homeobox protein pnx (Posterior neuron-specific homeobox)	pnx	Danio rerio (Zebrafish) (Brachydanio rerio)	182	Evidence at protein level
F1R345	reviewed	DDX11_DANRE	ATP-dependent DNA helicase DDX11 (EC 5.6.2.3) (DEAD/H-box protein 11) (DNA 5'-3' helicase DDX11)	ddx11 zgc:92172	Danio rerio (Zebrafish) (Brachydanio rerio)	890	Evidence at transcript level
F1R4C4	reviewed	PIS4A_DANRE	E3 SUMO-protein ligase PIAS4-A (EC 2.3.2.27) (Protein inhibitor of activated STAT protein 4)	pias4a	Danio rerio (Zebrafish) (Brachydanio rerio)	505	Evidence at transcript level
F1R4U0	reviewed	TXTPB_DANRE	Tricarboxylate transport protein B, mitochondrial (Citrate transport protein B) (Solute carrier family 25 member 1b)	slc25a1b	Danio rerio (Zebrafish) (Brachydanio rerio)	317	Inferred from homology
F1R520	reviewed	CSTN1_DANRE	Calsyntenin-1	clstn1	Danio rerio (Zebrafish) (Brachydanio rerio)	954	Evidence at protein level
F1R5H6	reviewed	BRD4_DANRE	Bromodomain-containing protein 4	brd4	Danio rerio (Zebrafish) (Brachydanio rerio)	1444	Evidence at protein level
F1R777	reviewed	MTA70_DANRE	N(6)-adenosine-methyltransferase subunit METTL3 (EC 2.1.1.348) (N(6)-adenosine-methyltransferase 70 kDa subunit) (MT-A70)	mettl3	Danio rerio (Zebrafish) (Brachydanio rerio)	584	Evidence at transcript level
F1R8P4	reviewed	GLRA2_DANRE	Glycine receptor subunit alpha-2	glra2	Danio rerio (Zebrafish) (Brachydanio rerio)	449	Inferred from homology
F1R8Z9	reviewed	FXJ1B_DANRE	Forkhead box protein J1-B	foxj1b foxj1.2	Danio rerio (Zebrafish) (Brachydanio rerio)	442	Evidence at transcript level
F1RA39	reviewed	MCA2B_DANRE	[F-actin]-monooxygenase mical2b (EC 1.14.13.225) (Molecule interacting with CasL protein 2B) (MICAL-2)	mical2b si:ch211-192p3.1	Danio rerio (Zebrafish) (Brachydanio rerio)	1679	Evidence at transcript level
F1RAX4	reviewed	STRA6_DANRE	Receptor for retinol uptake stra6 (Stimulated by retinoic acid gene 6 protein homolog)	stra6	Danio rerio (Zebrafish) (Brachydanio rerio)	670	Evidence at protein level
F1RBC8	reviewed	ABCD1_DANRE	ATP-binding cassette sub-family D member 1 (EC 3.1.2.-) (EC 7.6.2.-) (Adrenoleukodystrophy protein) (ALDP)	abcd1 si:ch211-169p10	Danio rerio (Zebrafish) (Brachydanio rerio)	766	Evidence at transcript level
F1RCP1	reviewed	BECN1_DANRE	Beclin-1	becn1	Danio rerio (Zebrafish) (Brachydanio rerio)	447	Evidence at transcript level
F1RCY6	reviewed	RENT1_DANRE	Regulator of nonsense transcripts 1 (EC 3.6.4.-) (ATP-dependent helicase RENT1) (Nonsense mRNA reducing factor 1) (NORF1) (Up-frameshift suppressor 1 homolog)	upf1 rent1	Danio rerio (Zebrafish) (Brachydanio rerio)	1100	Evidence at transcript level
F1RD40	reviewed	MYCB2_DANRE	E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Protein Esrom)	mycbp2	Danio rerio (Zebrafish) (Brachydanio rerio)	4574	Evidence at transcript level
F1RD85	reviewed	LOX3A_DANRE	Lysyl oxidase homolog 3A (EC 1.4.3.-) (EC 1.4.3.13) (Lysyl oxidase-like protein 3A)	loxl3a	Danio rerio (Zebrafish) (Brachydanio rerio)	739	Evidence at transcript level
F1RE08	reviewed	PTGIS_DANRE	Prostacyclin synthase (EC 5.3.99.4) (Hydroperoxy icosatetraenoate dehydratase) (EC 4.2.1.152) (Prostaglandin I2 synthase) (PGIS)	ptgis ptgisl	Danio rerio (Zebrafish) (Brachydanio rerio)	480	Evidence at protein level
F1RE57	reviewed	DHC3A_DANRE	Palmitoyltransferase ZDHHC3-A (EC 2.3.1.225) (Acyltransferase ZDHHC3A) (EC 2.3.1.-) (Zinc finger DHHC domain-containing protein 3)	zdhhc3a dhhc3 zdhhc3	Danio rerio (Zebrafish) (Brachydanio rerio)	316	Evidence at protein level
F1RET2	reviewed	SMYD5_DANRE	Protein-lysine N-trimethyltransferase SMYD5 (EC 2.1.1.-) (SET and MYND domain-containing protein 5) ([histone H3]-lysine20 N-trimethyltransferase SMYD5) (EC 2.1.1.372) ([histone H4]-lysine36 N-trimethyltransferase SMYD5) (EC 2.1.1.359)	smyd5	Danio rerio (Zebrafish) (Brachydanio rerio)	415	Evidence at transcript level
F1REV3	reviewed	KRIT1_DANRE	Krev interaction trapped protein 1 (Krev interaction trapped 1) (Cerebral cavernous malformations 1 protein homolog) (Santa)	krit1 ccm1 san zgc:63585	Danio rerio (Zebrafish) (Brachydanio rerio)	740	Evidence at protein level
F5HSE3	reviewed	NIPLA_DANRE	Nipped-B-like protein A	nipbla	Danio rerio (Zebrafish) (Brachydanio rerio)	2381	Evidence at transcript level
F6NXI9	reviewed	TRNT1_DANRE	CCA tRNA nucleotidyltransferase 1, mitochondrial (EC 2.7.7.72)	trnt1 zgc:86645	Danio rerio (Zebrafish) (Brachydanio rerio)	431	Evidence at transcript level
F8W2M1	reviewed	HACE1_DANRE	E3 ubiquitin-protein ligase HACE1 (EC 2.3.2.26) (HECT domain and ankyrin repeat-containing E3 ubiquitin-protein ligase 1) (HECT-type E3 ubiquitin transferase HACE1)	hace1	Danio rerio (Zebrafish) (Brachydanio rerio)	904	Inferred from homology
F8W2M8	reviewed	TPP1_DANRE	Tripeptidyl-peptidase 1 (TPP-1) (EC 3.4.14.9) (Tripeptidyl aminopeptidase) (Tripeptidyl-peptidase I) (TPP-I)	tpp1	Danio rerio (Zebrafish) (Brachydanio rerio)	557	Evidence at protein level
